seed,ate_true,s1_true,s0_true,ate_naive,s1_naive,s0_naive,bias,reversal
16,0.118047800313012,0.444558521560575,0.326510721247563,-0.00202709650561839,0.435538779007073,0.437565875512691,-0.12007489681863,1
17,0.186487321923214,0.501472031403337,0.314984709480123,0.0579627224353134,0.431170298252875,0.373207575817562,-0.128524599487901,0
18,0.129178243348101,0.452849740932643,0.323671497584541,-0.00442372428252313,0.443776335403464,0.448200059685987,-0.133601967630625,1
19,0.126994286537209,0.452068617558022,0.325074331020813,-0.00244671100528449,0.46422420099293,0.466670911998215,-0.129440997542494,1
20,0.149021209382217,0.445820433436533,0.296799224054316,0.0664664427830981,0.463544650482483,0.397078207699385,-0.0825547665991185,0
21,0.11809714704082,0.455375253549696,0.337278106508876,-0.0231802478334664,0.426898523416574,0.45007877125004,-0.141277394874287,1
22,0.163522075540263,0.468459152016546,0.304937076476283,0.0122543646476243,0.426603152660705,0.414348788013081,-0.151267710892639,0
23,0.184618738474954,0.496993987975952,0.312375249500998,0.0126277385334127,0.463420857651649,0.450793119118236,-0.171990999941541,0
24,0.121,0.467,0.346,0.011491137471052,0.458137312549153,0.446646175078101,-0.109508862528948,0
25,0.1186722722018,0.448692152917506,0.330019880715706,0.0274523451933707,0.43292957582383,0.405477230630459,-0.091219927008429,0
26,0.179994499862496,0.489447236180905,0.309452736318408,-0.0238807337669562,0.425060678411657,0.448941412178613,-0.203875233629453,1
27,0.114196249896241,0.435084241823588,0.320887991927346,0.0289352276295103,0.435494266286298,0.406559038656787,-0.0852610222667312,0
28,0.124663879968497,0.463514902363823,0.338851022395326,0.0114439471759077,0.450941220556424,0.439497273380516,-0.113219932792589,0
29,0.139540582358418,0.475177304964539,0.335636722606121,0.0664064880437785,0.444212427251707,0.377805939207929,-0.0731340943146397,0
30,0.155193671838722,0.491769547325103,0.336575875486382,0.059865325886383,0.459314007373535,0.399448681487152,-0.0953283459523385,0
31,0.17,0.479,0.309,0.0220425168466779,0.435718838873278,0.4136763220266,-0.147957483153322,0
32,0.172688833365366,0.472107438016528,0.299418604651162,0.049905486606673,0.42625966211621,0.376354175509537,-0.122783346758693,0
33,0.173769022739274,0.493927125506073,0.320158102766798,0.0529673348219766,0.439104213212066,0.386136878390089,-0.120801687917298,0
34,0.132583258325833,0.445454545454546,0.312871287128713,0.0375168954522022,0.443180383726123,0.40566348827392,-0.0950663628736312,0
35,0.153368340163934,0.46484375,0.311475409836066,-0.012474488594944,0.442287923588255,0.454762412183199,-0.165842828758878,1
36,0.122162326932025,0.447257383966245,0.32509505703422,-0.0282569559236576,0.428592097583014,0.456849053506672,-0.150419282855682,1
37,0.180360689345891,0.502066115702479,0.321705426356589,0.0599761023014616,0.453797592195051,0.39382148989359,-0.120384587044429,0
38,0.158015801580158,0.47979797979798,0.321782178217822,0.00537455512552576,0.439850839966913,0.434476284841387,-0.152641246454632,0
39,0.160346542538006,0.478386167146974,0.318039624608968,0.0217607673008374,0.426532134959428,0.40477136765859,-0.138585775237169,0
40,0.138117712243182,0.472799208704254,0.334681496461072,-0.0139493116531244,0.433147312840239,0.447096624493364,-0.152067023896306,1
41,0.138333833383338,0.452475247524752,0.314141414141414,-0.0129640228031732,0.390190969360821,0.403154992163994,-0.151297856186511,1
42,0.123693966970003,0.457027300303337,0.333333333333334,0.011388176571375,0.425567385716845,0.41417920914547,-0.112305790398628,0
43,0.126448450901453,0.448275862068965,0.321827411167513,-0.0187885293038709,0.398980664449452,0.417769193753323,-0.145236980205323,1
44,0.162541851506654,0.459758551307847,0.297216699801193,0.0388346615015653,0.451543320348442,0.412708658846877,-0.123707190005089,0
45,0.16214405360134,0.466666666666666,0.304522613065327,-0.00342082416245504,0.436483961347002,0.439904785509457,-0.165564877763795,1
46,0.155494986371933,0.460913705583756,0.305418719211823,0.0456339205127184,0.449421391206188,0.403787470693469,-0.109861065859215,0
47,0.138461538461539,0.475961538461539,0.3375,0.0128598316059833,0.452640223523112,0.439780391917129,-0.125601706855556,0
48,0.14308857721443,0.462686567164179,0.319597989949749,0.0129605941430078,0.436184510960396,0.423223916817388,-0.130127983071422,0
49,0.128557299307667,0.461228600201411,0.332671300893744,-0.0370748750215557,0.437235242816164,0.474310117837719,-0.165632174329223,1
50,0.147691329221962,0.458624127617148,0.310932798395186,-0.0114274223162039,0.423509150432214,0.434936572748418,-0.159118751538166,1
51,0.13559654238617,0.466933867735471,0.331337325349301,-0.0383351718895159,0.427687629572416,0.466022801461932,-0.173931714275686,1
52,0.166959173979349,0.479396984924623,0.312437810945274,-0.0306910535284358,0.453077057437707,0.483768110966143,-0.197650227507785,1
53,0.156124600421682,0.466469428007889,0.310344827586207,0.0218602509378074,0.446970010168558,0.425109759230751,-0.134264349483875,0
54,0.164129177853625,0.474541751527495,0.31041257367387,0.0152986747419938,0.441914773775264,0.42661609903327,-0.148830503111631,0
55,0.144130674584641,0.468213925327951,0.32408325074331,0.0506021802820156,0.459990135376839,0.409387955094823,-0.0935284943026256,0
56,0.139555543994902,0.461312438785505,0.321756894790602,0.0607215712926443,0.458332993490974,0.39761142219833,-0.0788339727022579,0
57,0.158584597657,0.472560975609756,0.313976377952756,-0.0145317340935187,0.449924144025322,0.46445587811884,-0.173116331750519,1
58,0.153743707590263,0.47644539614561,0.322701688555347,0.0328361576099077,0.435514068862891,0.402677911252983,-0.120907549980355,0
59,0.136214485794318,0.462745098039216,0.326530612244898,-0.024746198070452,0.429781917829904,0.454528115900356,-0.16096068386477,1
60,0.142393811262734,0.46797520661157,0.325581395348837,-0.0174372741898606,0.438048502183641,0.455485776373502,-0.159831085452594,1
61,0.15074874608668,0.472140762463343,0.321392016376663,-0.0142278012040198,0.434920056888644,0.449147858092664,-0.1649765472907,1
62,0.102887572189305,0.440201005025126,0.337313432835821,0.00481052456160569,0.437274891448749,0.432464366887144,-0.0980770476276989,0
63,0.142636666395906,0.461538461538461,0.318901795142555,0.055130995734209,0.461427561880885,0.406296566146676,-0.0875056706616968,0
64,0.143427450533204,0.44149459193707,0.298067141403866,-0.0019645244921398,0.421120079105992,0.423084603598132,-0.145391975025344,1
