seed,ate_true,ate_gformula,err_vs_realized,s0_gf,s1_gf,s0_true,s1_true
0,0.1889188874758796,0.18749874999500032,-0.0014201374808792688,0.2815631262525048,0.4690618762475051,0.3044397463002115,0.49335863377609107
1,0.12414422272816422,0.16405241114682106,0.03990818841865684,0.30186823992133754,0.4659206510681586,0.32281059063136436,0.4469548133595286
2,0.1389999999999999,0.12477412477412514,-0.014225875225874762,0.3246753246753244,0.44944944944944953,0.3149999999999997,0.4539999999999996
3,0.16671200652894042,0.14602233635738165,-0.02068967017155876,0.3047808764940241,0.45080321285140573,0.30364372469635614,0.47035573122529656
4,0.14894206430720885,0.13899213380541175,-0.0099499305017971,0.3195020746887969,0.45849420849420863,0.3111992071357781,0.46014127144298694
5,0.1301699913668833,0.14223310291858704,0.012063111551703753,0.35181451612903225,0.4940476190476193,0.32517838939857263,0.4553483807654559
6,0.12767038453537272,0.17435423338946238,0.04668384885408966,0.31182795698924753,0.4861821903787099,0.29743083003952614,0.42510121457489886
7,0.1869385505648936,0.15079543267688716,-0.03614311788800645,0.33298319327731124,0.4837786259541984,0.2947368421052635,0.48167539267015713
8,0.12451049804199232,0.1632101632101634,0.03869966516817108,0.31331331331331325,0.47652347652347665,0.31536926147704575,0.43987975951903807
9,0.12571028411364593,0.1514984234227476,0.025788139309101676,0.3172205438066467,0.4687189672293943,0.31938775510204065,0.4450980392156866
10,0.15625563494003414,0.13636168172240448,-0.019893953217629656,0.31479642502482613,0.4511581067472306,0.3235908141962422,0.47984644913627633
11,0.16799999999999998,0.16036105242942172,-0.007638947570578258,0.30610236220472475,0.4664634146341465,0.29399999999999965,0.46199999999999963
12,0.1815791082501244,0.12967766729115526,-0.05190144095896915,0.357976653696499,0.48765432098765427,0.31794333683106,0.49952244508118443
13,0.13935574229691838,0.17778460497702858,0.0384288626801102,0.29600778967867547,0.47379239465570405,0.33921568627451026,0.47857142857142865
14,0.12593495251701792,0.1676715294221212,0.041736576905103295,0.3022571148184495,0.46992864424057074,0.3219178082191782,0.4478527607361961
15,0.15979515979515985,0.1906535505994849,0.030858390804325064,0.29533678756476667,0.4859903381642516,0.31768231768231764,0.4774774774774775
16,0.17041613498085945,0.1820273911091152,0.011611256128255754,0.2941176470588237,0.4761450381679389,0.2967806841046278,0.46719681908548727
17,0.11576911576911592,0.1543214509068167,0.03855233513770079,0.30926829268292666,0.46358974358974336,0.32667332667332655,0.44244244244244246
18,0.16671823726681823,0.10572086682649345,-0.06099737044032477,0.38095238095238115,0.4866732477788746,0.304725168756027,0.47144340602284524
19,0.13570421851915193,0.14592633482135714,0.010222116302205209,0.31124497991967887,0.457171314741036,0.305801376597837,0.44150559511698895
20,0.14197419741974232,0.11996002401766642,-0.0220141734020759,0.30695900857959973,0.42691903259726616,0.32772277227722746,0.4696969696969698
21,0.11877172363781863,0.15010824103070652,0.0313365173928879,0.30612244897959184,0.45623069001029837,0.3330049261083743,0.4517766497461929
22,0.17966199347032868,0.18200836820083655,0.002346374730507861,0.31799163179916345,0.5,0.29573170731707327,0.47539370078740195
23,0.1446928162238889,0.13227933518681761,-0.012413481037071294,0.3319713993871295,0.4642507345739471,0.3303834808259589,0.47507629704984783
24,0.16147666675669242,0.1180272108843533,-0.043449455872339116,0.316666666666667,0.4346938775510203,0.31563421828908583,0.47711088504577825
25,0.1254020578963368,0.17381137412222736,0.048409316225890564,0.30496453900709203,0.4787759131293194,0.32905138339920953,0.4544534412955463
26,0.1404259915449771,0.16224405610140236,0.021818064556425265,0.29447236180904535,0.4567164179104477,0.3195146612740144,0.4599406528189915
27,0.10089452881214889,0.17421616034882387,0.07332163153667498,0.30889540566959955,0.4831115660184234,0.3289473684210528,0.4298418972332017
28,0.12561462046561134,0.1734539517126289,0.04783933124701756,0.33268101761252455,0.5061349693251534,0.34381338742393514,0.4694280078895465
29,0.18881216119018968,0.1614282756074944,-0.027383885582695278,0.3027522935779818,0.4641805691854762,0.2953876349362121,0.4841997961264018
30,0.11128405603415525,0.1782967365400906,0.06701268050593534,0.31822759315206456,0.49652432969215515,0.3133595284872298,0.42464358452138506
31,0.1733828781702087,0.1530812324929972,-0.02030164567721149,0.3254901960784319,0.4785714285714291,0.31132075471698106,0.48470363288718976
32,0.14433340949448997,0.15819581958195833,0.013862410087468358,0.3306930693069303,0.48888888888888865,0.31551362683438183,0.4598470363288718
33,0.13120312031203085,0.14227368825677528,0.011070567944744425,0.30813953488372053,0.4504132231404958,0.3242424242424241,0.45544554455445496
34,0.16987409361305456,0.1509943714821767,-0.018879722130877852,0.3043902439024388,0.4553846153846155,0.3011190233977621,0.47099311701081664
35,0.12950142591208819,0.12380952380952398,-0.005691902102564206,0.31619047619047613,0.4400000000000001,0.33235004916420857,0.46185147507629676
36,0.11570289257231459,0.08618608904143182,-0.029516803530882763,0.3310875842155923,0.41727367325702414,0.31243781094527373,0.4281407035175883
