seed,ate_true,s1_true,s0_true,ate_naive,s1_naive,s0_naive,bias,reversal,n_treated_obs,n_control_obs
115,0.12423056408121558,0.4737923946557042,0.34956183057448864,-0.01085831187662889,0.4431697449357263,0.4540280568123552,-0.13508887595784447,1,1410,590
116,0.14199999999999996,0.4719999999999998,0.32999999999999985,-0.062487777552863055,0.41334199489831314,0.4758297724511762,-0.20448777755286301,1,1394,606
117,0.16594733815108403,0.4847290640394091,0.31878172588832504,0.024713476783234656,0.43969842708189005,0.4149849502986554,-0.14123386136784938,0,1399,601
118,0.14035505278190025,0.45725646123260455,0.3169014084507043,-0.0067394886532882725,0.4239623237609561,0.4307018124142444,-0.14709454143518852,1,1440,560
119,0.1490005765904283,0.46511627906976727,0.31611570247933896,0.028271547539800546,0.4490468614585072,0.42077531391870665,-0.12072902905062777,0,1417,583
120,0.11615290382259541,0.4427860696517412,0.3266331658291458,-0.021530318025806572,0.42593443501085554,0.4474647530366621,-0.13768322184840198,1,1416,584
121,0.11781854330200747,0.45787908820614465,0.3400605449041372,-0.0018261184788341267,0.43541784576599185,0.437243964244826,-0.1196446617808416,1,1405,595
122,0.13755980262505818,0.4560496380558425,0.3184898354307843,-0.040012378854541064,0.41915496003792196,0.45916733889246303,-0.17757218147959924,1,1418,582
123,0.14723769284936972,0.47244094488189015,0.32520325203252043,0.011341184367680168,0.4053535834320544,0.39401239906437424,-0.13589650848168955,0,1375,625
124,0.12976607625722075,0.46912350597609603,0.3393574297188753,0.016061730998578716,0.4305344057876707,0.414472674789092,-0.11370434525864204,0,1426,574
125,0.12266584256695134,0.4401582591493578,0.31749241658240646,-0.005841818984033298,0.4276678744659474,0.4335096934499807,-0.12850766155098464,1,1444,556
126,0.15782477268645767,0.46641438032166455,0.3085896076352069,0.005952012753351943,0.4350185791038389,0.42906656635048696,-0.15187275993310573,0,1423,577
127,0.1333395418327692,0.44963655244029094,0.31629701060752174,-0.04062988652061289,0.4226394067895733,0.4632692933101862,-0.17396942835338208,1,1404,596
128,0.1265290806754219,0.452682926829268,0.32615384615384607,-0.05221767493912083,0.4207170606600165,0.47293473559913735,-0.17874675561454273,1,1391,609
129,0.1601410638397887,0.47011144883485295,0.30997038499506424,0.018293191776002582,0.44789630909764006,0.4296031173216375,-0.14184787206378613,0,1398,602
130,0.11486084368983035,0.45279187817258887,0.3379310344827585,-0.04205975617711549,0.3952286436564512,0.4372883998335667,-0.15692059986694584,1,1414,586
131,0.1546822742474916,0.4807692307692309,0.3260869565217393,0.009824911938714764,0.4230684601776236,0.41324354823890885,-0.14485736230877683,0,1431,569
132,0.16665213456525463,0.47324239244491073,0.3065902578796561,0.019559404656838586,0.460019481237595,0.4404600765807564,-0.14709272990841604,0,1421,579
133,0.17820733284715773,0.48929663608562696,0.31108930323846923,0.016724440228762516,0.45717732167524455,0.44045288144648204,-0.1614828926183952,0,1384,616
134,0.12657050628202493,0.4559118236472944,0.32934131736526945,0.0079160169447956,0.4349039103087255,0.4269878933639299,-0.11865448933722933,0,1446,554
135,0.14290633608815467,0.4762396694214879,0.3333333333333332,-0.055028644779181124,0.4451072759435517,0.5001359207227328,-0.1979349808673358,1,1417,583
136,0.13703268841356492,0.45614035087719285,0.31910766246362793,-0.009661725455763104,0.44455086183221315,0.45421258728797625,-0.14669441386932802,1,1421,579
137,0.14261457045828185,0.4749498997995991,0.33233532934131726,0.07415052734300481,0.4636253425355491,0.3894748151925443,-0.06846404311527704,0,1409,591
138,0.12893806300900817,0.4472111553784863,0.31827309236947815,-0.024337497975994993,0.43224116989964073,0.4565786678756357,-0.15327556098500317,1,1411,589
139,0.15799052784844497,0.4528112449799195,0.2948207171314745,-0.010801515155200558,0.42971764775518756,0.4405191629103881,-0.16879204300364553,1,1439,561
140,0.18494151169165896,0.4775051124744377,0.29256360078277877,-0.03603649535775999,0.404210305811097,0.440246801168857,-0.22097800704941895,1,1406,594
141,0.1433172463804357,0.4610837438423646,0.3177664974619289,0.06616277088841732,0.44377579225315095,0.3776130213647336,-0.07715447549201837,0,1415,585
142,0.13151322573514912,0.4701114488348529,0.3385982230997038,-0.06349456883499116,0.43639678791443737,0.49989135674942853,-0.19500779457014028,1,1399,601
143,0.16109233811419005,0.47922705314009667,0.3181347150259066,-0.002388849466123666,0.4541170783141495,0.45650592778027316,-0.1634811875803137,1,1407,593
144,0.15238280326495945,0.4644913627639156,0.31210855949895616,0.06655902172148298,0.4565080933507058,0.3899490716292228,-0.08582378154347647,0,1421,579
145,0.13683502976762035,0.46951219512195147,0.3326771653543311,-0.019583037084811572,0.4310805537869477,0.4506635908717593,-0.15641806685243193,1,1417,583
146,0.14874799402911043,0.4550102249488756,0.3062622309197652,0.06653769866689246,0.45822994807289985,0.3916922494060074,-0.08221029536221797,0,1399,601
147,0.12984924140579968,0.4664634146341465,0.3366141732283468,0.019652161112876543,0.42476259631914315,0.4051104352062666,-0.11019708029292313,0,1428,572
148,0.17709418021808299,0.49754178957718814,0.32044760935910516,-0.007322584117667841,0.4362906455303603,0.44361322964802813,-0.18441676433575083,1,1397,603
149,0.091755091755092,0.42342342342342343,0.33166833166833143,0.0690319926561867,0.4451137531388203,0.3760817604826336,-0.022723099098905297,0,1372,628
150,0.1349622776242666,0.45161290322580677,0.31665062560154017,0.06785490272720851,0.45854695204272794,0.39069204931551943,-0.06710737489705809,0,1430,570
151,0.1509257333055965,0.4535573122529647,0.3026315789473682,-0.012526579761540757,0.44198088343442116,0.4545074631959619,-0.16345231306713726,1,1450,550
152,0.1513950519968471,0.4755600814663952,0.3241650294695481,-0.02247684538938982,0.43692515075853927,0.4594019961479291,-0.17387189738623693,1,1413,587
153,0.15664855012659562,0.4638124362895004,0.3071638861629048,0.014247493337966655,0.4324641657246539,0.41821667238668725,-0.14240105678862897,0,1412,588
154,0.13381995133819985,0.4671532846715333,0.3333333333333334,0.014300678018685009,0.4439163330127417,0.4296156549940567,-0.11951927331951484,0,1381,619
155,0.16536614645858388,0.47352941176470636,0.3081632653061225,0.02576374617455751,0.4499777765863104,0.4242140304117529,-0.13960240028402637,0,1356,644
156,0.1380588839678305,0.4485798237022533,0.3105209397344228,0.03817423808611814,0.4360418142912588,0.3978675762051407,-0.09988464588171236,0,1407,593
157,0.13759276430888479,0.46312684365781703,0.32553407934893225,-0.011772476491701211,0.44378320525941023,0.45555568175111144,-0.149365240800586,1,1443,557
158,0.1106294208416218,0.4389275074478652,0.3282980866062434,0.017472662048637955,0.4364709401312487,0.41899827808261075,-0.09315675879298385,0,1422,578
159,0.15580785275018294,0.4782608695652177,0.32245301681503474,-0.032030413663842294,0.40360621139414266,0.43563662505798495,-0.18783826641402523,1,1407,593
